player,team,position,age,market_value,contract_end,matches,minutes,goals,xg,nationality,country,foot,height,weight,on_loan,def_actions_p90,def_duels_p90,def_duels_won_pct,aerial_duels_p90,aerial_duels_won_pct,tackles_p90,tackles_adj_p90,blocked_shots_p90,interceptions_p90,interceptions_adj_p90,fouls_p90,yellow_cards,yellow_cards_p90,red_cards,red_cards_p90,att_actions_p90,goals_p90,np_goals,np_goals_p90,xg_p90,header_goals,header_goals_p90,shots,shots_p90,shots_on_target_pct,conversion_pct,assists,assists_p90,xa,xa_p90,crosses_p90,crosses_accurate_pct,dribbles_p90,dribbles_success_pct,off_duels_p90,off_duels_won_pct,box_touches_p90,progressive_runs_p90,passes_p90,passes_accurate_pct,fwd_passes_p90,fwd_passes_accurate_pct,back_passes_p90,back_passes_accurate_pct,lat_passes_p90,lat_passes_accurate_pct,long_passes_p90,long_passes_accurate_pct,avg_pass_length,avg_long_pass_length,second_assists_p90,third_assists_p90,smart_passes_p90,smart_passes_accurate_pct,key_passes_p90,final_third_passes_p90,final_third_passes_accurate_pct,penalty_area_passes_p90,penalty_area_passes_accurate_pct,through_passes_p90,through_passes_accurate_pct,through_passes_received_p90,deep_crosses_received_p90,progressive_passes_p90,progressive_passes_accurate_pct,position_group
G. Allison,Querétaro,GK,35.0,500000,,21,2132,0,0.0,Mexico,Mexico,direito,183,90,sim,1.01,0.04,100.0,0.25,66.67,0.0,0.0,0.0,0.97,1.01,0.0,5.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.48,79.41,6.97,70.3,0.0,0.0,4.26,93.07,4.6,54.13,37.08,57.22,0.0,0.0,0.0,0.0,0.0,1.65,41.03,0.17,25.0,0.21,40.0,0.0,0.0,3.42,74.07,Goalkeeper
V. Loroña,Tigres UANL,LB,27.0,500000,2026-07-12,8,568,0,0.02,Mexico,Mexico,direito,180,78,sim,6.02,7.45,57.45,0.95,66.67,0.16,0.23,0.16,1.58,2.29,1.27,3.0,0.48,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16,0.0,0.0,1.0,0.16,0.36,0.06,0.48,33.33,0.48,33.33,2.06,38.46,0.16,0.32,34.54,92.2,11.88,85.33,8.87,100.0,8.71,94.55,2.06,69.23,17.34,30.49,0.0,0.0,0.0,0.0,0.32,3.01,84.21,1.11,57.14,0.0,0.0,0.48,0.16,5.39,79.41,Defender
K. Rosero,Necaxa,"RB, RWB, RW",27.0,500000,2027-06-30,27,2448,2,2.49,Colombia,Colombia,direito,178,74,sim,6.84,4.74,61.24,1.47,25.0,0.59,0.81,0.0,3.35,4.63,0.92,4.0,0.15,1.0,0.04,5.15,0.07,2.0,0.07,0.09,0.0,0.0,30.0,1.1,26.67,6.667,3.0,0.11,3.04,0.11,4.96,33.33,5.37,58.22,10.15,45.65,2.5,2.46,29.3,73.53,6.76,61.41,7.06,96.88,9.45,68.09,1.91,42.31,19.69,32.74,0.04,0.0,0.11,66.67,0.48,2.65,55.56,3.86,41.9,0.48,38.46,0.92,1.58,4.19,77.19,Forward
C. Sánchez,Pachuca,RB,23.0,450000,2028-12-31,19,1022,0,0.11,Mexico,Mexico,direito,170,63,sim,8.19,9.33,47.17,1.5,70.59,0.53,0.77,0.0,3.26,4.76,2.55,5.0,0.44,1.0,0.09,2.99,0.0,0.0,0.0,0.01,0.0,0.0,5.0,0.44,40.0,0.0,0.0,0.0,0.62,0.05,2.47,32.14,3.52,55.0,7.4,44.05,0.53,2.47,35.67,79.51,13.47,75.16,4.84,90.91,11.62,78.03,5.9,56.72,22.62,38.67,0.0,0.0,0.09,100.0,0.09,7.4,70.24,3.26,45.95,0.97,54.55,0.53,0.88,8.19,82.8,Defender
A. Mora,Atlas,"LCB, LB",28.0,400000,,16,1422,2,0.95,Mexico,Mexico,esquerdo,192,90,sim,8.48,5.32,64.29,3.73,47.46,0.19,0.23,0.82,4.87,5.79,1.46,4.0,0.25,0.0,0.0,0.32,0.13,2.0,0.13,0.06,2.0,0.13,6.0,0.38,66.67,33.333,0.0,0.0,0.0,0.0,0.06,100.0,0.06,0.0,0.89,28.57,0.51,0.13,27.03,81.97,14.68,71.98,3.48,96.36,7.03,95.5,3.61,43.86,19.08,35.33,0.0,0.0,0.0,0.0,0.06,3.35,54.72,0.32,20.0,0.13,0.0,0.0,0.06,6.27,65.66,Defender
C. Villanueva,Querétaro,RCB,31.0,400000,,12,903,0,0.55,Mexico,Mexico,direito,188,80,sim,8.07,4.29,69.77,2.39,37.5,0.0,0.0,0.4,5.08,5.31,0.6,2.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.06,0.0,0.0,2.0,0.2,50.0,0.0,0.0,0.0,0.08,0.01,0.1,100.0,0.0,0.0,0.8,25.0,0.1,0.2,23.52,83.47,10.07,69.31,1.1,90.91,9.97,96.0,4.29,46.51,19.24,30.51,0.0,0.0,0.0,0.0,0.0,2.69,62.96,0.3,66.67,0.2,100.0,0.1,0.1,4.88,59.18,Defender
I. Tona,Club Tijuana,"DMF, LCMF, RCMF",25.0,400000,,29,2754,0,0.31,Mexico,Mexico,direito,176,69,sim,7.22,5.88,60.56,1.37,47.62,0.16,0.21,0.23,3.5,4.52,1.01,9.0,0.29,0.0,0.0,0.46,0.0,0.0,0.0,0.01,0.0,0.0,15.0,0.49,26.67,0.0,1.0,0.03,0.69,0.02,0.23,42.86,0.39,50.0,2.84,34.48,0.07,0.62,45.62,89.68,11.57,75.42,6.54,97.5,23.07,94.33,7.09,67.74,22.91,42.69,0.03,0.03,0.03,100.0,0.16,6.7,79.51,0.62,47.37,0.2,33.33,0.13,0.13,7.16,72.6,Midfielder
A. Mejía,América,RB,24.0,400000,,9,551,0,0.0,Mexico,Mexico,direito,173,67,sim,8.17,8.17,60.0,1.8,54.55,0.16,0.23,0.65,3.1,4.38,1.47,2.0,0.33,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.04,0.98,16.67,0.82,60.0,3.27,35.0,0.49,0.16,23.19,80.28,6.53,72.5,6.86,95.24,6.21,68.42,2.29,50.0,16.44,16.54,0.0,0.0,0.0,0.0,0.33,2.12,53.85,1.14,42.86,0.33,0.0,0.16,0.33,3.59,63.64,Defender
L. Rey,Puebla,"DMF, RCMF",23.0,400000,2026-06-30,22,1685,2,1.63,Mexico,Mexico,direito,188,88,sim,7.26,6.2,56.03,2.24,61.9,0.05,0.07,0.32,3.74,4.83,1.12,3.0,0.16,0.0,0.0,0.8,0.11,2.0,0.11,0.09,0.0,0.0,26.0,1.39,19.23,7.692,0.0,0.0,0.86,0.05,0.27,80.0,0.48,66.67,2.56,37.5,0.64,1.01,43.69,85.82,12.45,70.39,5.98,92.86,19.18,93.04,4.11,51.95,19.69,34.82,0.05,0.05,0.05,0.0,0.21,7.0,69.47,0.69,61.54,0.16,0.0,0.05,0.27,5.88,68.18,Midfielder
J. Nevárez,Juárez,RB,25.0,400000,,13,981,1,0.11,Mexico,Mexico,direito,178,72,sim,8.07,6.7,63.01,2.29,56.0,0.0,0.0,0.28,3.85,5.81,1.01,3.0,0.28,0.0,0.0,1.83,0.09,1.0,0.09,0.01,0.0,0.0,5.0,0.46,20.0,20.0,0.0,0.0,0.76,0.07,2.29,40.0,1.19,69.23,3.49,44.74,0.37,1.38,31.28,78.59,9.45,66.02,6.24,94.12,10.18,82.88,3.76,56.1,20.71,37.68,0.0,0.0,0.0,0.0,0.55,3.3,66.67,1.47,56.25,0.37,75.0,0.09,1.01,6.33,55.07,Defender
L. Cárdenas,Monterrey,GK,32.0,400000,2026-06-30,17,1700,0,0.13,Mexico,Mexico,direito,183,84,sim,1.27,0.05,100.0,0.26,80.0,0.0,0.0,0.0,1.22,1.72,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.05,100.0,0.05,0.0,28.22,93.06,11.91,85.33,0.05,100.0,15.25,99.65,5.45,69.9,25.96,44.18,0.0,0.0,0.0,0.0,0.0,0.74,42.86,0.16,0.0,0.11,0.0,0.0,0.0,3.6,63.24,Goalkeeper
Dudu Teodora,Mazatlán,"CF, AMF, RW",26.0,350000,,22,1229,1,1.45,Brazil,Brazil,direito,179,73,sim,2.71,2.34,46.88,2.56,25.71,0.07,0.09,0.07,1.54,1.94,0.81,2.0,0.15,1.0,0.07,2.27,0.07,1.0,0.07,0.11,0.0,0.0,14.0,1.03,28.57,7.143,2.0,0.15,1.45,0.11,0.88,41.67,2.49,61.76,11.35,38.06,2.34,1.17,16.92,84.85,2.93,57.5,5.57,98.68,3.88,88.68,0.22,66.67,15.29,3.88,0.07,0.07,0.15,50.0,0.37,1.03,78.57,1.1,53.33,0.22,66.67,0.88,0.37,1.24,76.47,Forward
J. Hernández,Querétaro,GK,28.0,350000,,5,504,0,0.0,Mexico,Mexico,direito,183,80,sim,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,12.68,81.69,6.79,71.05,0.0,0.0,5.18,93.1,4.46,56.0,31.87,48.74,0.0,0.0,0.0,0.0,0.0,0.36,50.0,0.18,0.0,0.18,0.0,0.0,0.0,3.57,65.0,Goalkeeper
L. Abascia,Querétaro,LCB,30.0,350000,2028-12-31,9,908,0,0.31,Argentina,"Argentina, Spain",direito,181,78,sim,9.22,6.74,73.53,4.06,36.59,0.5,0.57,0.79,3.77,4.3,0.99,4.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.03,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.19,0.02,0.4,75.0,0.2,50.0,1.49,40.0,0.5,0.5,29.14,85.37,11.7,72.88,1.78,94.44,13.38,96.3,4.16,57.14,21.96,38.14,0.0,0.0,0.0,0.0,0.2,2.78,67.86,0.5,60.0,0.0,0.0,0.0,0.3,3.96,52.5,Defender
D. Aguirre,Guadalajara,RCB,26.0,300000,2027-06-30,21,1675,3,1.88,United States,United States,direito,176,72,sim,7.47,6.07,58.41,2.1,51.28,0.38,0.55,0.43,3.55,5.22,1.13,8.0,0.43,0.0,0.0,1.34,0.16,3.0,0.16,0.1,1.0,0.05,12.0,0.64,33.33,25.0,2.0,0.11,2.1,0.11,1.77,33.33,1.07,50.0,3.17,42.37,1.77,2.2,45.08,87.84,16.66,81.94,4.67,96.55,15.47,90.28,2.96,47.27,17.05,32.75,0.0,0.0,0.05,0.0,0.32,4.62,80.23,1.45,40.74,0.54,30.0,0.54,0.59,5.53,72.82,Defender
A. González,Guadalajara,CF,22.0,200000,2026-12-31,27,2026,18,15.43,Mexico,Mexico,direito,179,68,sim,2.58,2.4,50.0,4.35,27.55,0.22,0.33,0.13,1.15,1.73,1.2,3.0,0.13,0.0,0.0,2.04,0.8,16.0,0.71,0.69,7.0,0.31,61.0,2.71,54.1,29.508,0.0,0.0,0.88,0.04,0.44,30.0,1.02,43.48,5.69,27.34,4.44,0.67,15.77,77.18,1.64,43.24,6.04,87.5,4.89,77.27,0.27,66.67,14.95,9.0,0.0,0.0,0.0,0.0,0.13,0.89,40.0,0.62,35.71,0.0,0.0,0.62,0.0,0.71,25.0,Forward
I. Violante,América,"RW, LWB, RAMF",22.0,200000,2028-06-30,17,621,1,0.98,Mexico,Mexico,esquerdo,173,69,sim,3.19,3.62,60.0,1.59,27.27,0.0,0.0,0.0,1.01,1.6,0.29,1.0,0.14,0.0,0.0,4.78,0.14,1.0,0.14,0.14,0.0,0.0,11.0,1.59,45.45,9.091,3.0,0.43,1.07,0.16,4.2,34.48,4.35,60.0,7.68,49.06,2.9,1.88,28.26,76.92,6.09,66.67,8.7,93.33,8.99,75.81,1.01,28.57,17.33,12.12,0.0,0.0,0.0,0.0,0.87,1.3,55.56,2.03,57.14,0.0,0.0,0.29,1.74,3.77,73.08,Forward
R. Rodríguez,Mazatlán,GK,24.0,100000,,10,989,0,0.0,Mexico,Mexico,direito,186,76,sim,1.82,0.18,100.0,0.36,75.0,0.18,0.2,0.0,1.46,1.64,0.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,15.83,80.46,9.28,72.55,0.0,0.0,5.92,93.85,6.37,61.43,32.89,45.01,0.0,0.0,0.0,0.0,0.0,1.09,25.0,0.27,0.0,0.09,0.0,0.0,0.0,4.73,65.38,Goalkeeper
E. Lozano,Puebla,CF,23.0,100000,2026-06-30,23,1483,3,5.96,Mexico,"Mexico, Spain",direito,170,70,sim,2.73,2.31,52.63,6.61,45.87,0.18,0.24,0.12,1.34,1.77,1.15,2.0,0.12,0.0,0.0,1.21,0.18,3.0,0.18,0.36,0.0,0.0,37.0,2.25,27.03,8.108,0.0,0.0,0.3,0.02,0.24,0.0,1.15,52.63,7.16,32.2,3.16,0.49,9.77,66.46,2.12,60.0,3.28,81.48,2.49,60.98,0.55,44.44,15.92,10.98,0.06,0.0,0.0,0.0,0.12,0.67,54.55,0.18,33.33,0.0,0.0,0.18,0.0,0.79,46.15,Forward
G. Mora,Club Tijuana,"CF, LW, LCMF",17.0,0,,16,1296,4,3.09,Mexico,Mexico,unknown,160,0,sim,4.72,3.13,60.0,1.25,16.67,0.28,0.36,0.07,2.57,3.31,0.21,1.0,0.07,0.0,0.0,2.15,0.28,3.0,0.21,0.21,1.0,0.07,23.0,1.6,34.78,17.391,1.0,0.07,1.41,0.1,0.49,28.57,1.94,75.0,6.94,51.0,1.94,2.22,26.81,87.31,6.94,82.0,6.32,94.51,7.15,88.35,1.11,56.25,15.72,24.44,0.28,0.07,0.0,0.0,0.28,3.4,81.63,0.97,50.0,0.07,0.0,0.28,0.14,2.64,73.68,Forward
D. Espinoza,América,"RB, RWB",21.0,0,,7,557,1,0.18,Mexico,Mexico,direito,178,73,sim,6.79,6.79,61.9,2.26,57.14,0.16,0.25,0.0,2.42,3.72,0.97,1.0,0.16,0.0,0.0,2.75,0.16,1.0,0.16,0.03,0.0,0.0,1.0,0.16,100.0,100.0,0.0,0.0,0.35,0.06,1.62,20.0,3.07,73.68,5.66,57.14,0.81,2.42,32.96,87.75,8.4,82.69,8.56,94.34,11.63,87.5,0.97,66.67,17.74,13.61,0.0,0.16,0.16,0.0,0.16,3.88,87.5,2.1,38.46,0.16,0.0,0.81,0.32,3.72,78.26,Forward
J. Fedorco,Independiente,"CB, RCB, LCB",25.0,0,2028-12-31,11,1029,0,0.81,Argentina,Argentina,direito,185,0,sim,11.11,8.31,74.74,4.55,46.15,0.17,0.25,1.05,4.72,6.86,1.31,4.0,0.35,0.0,0.0,0.35,0.0,0.0,0.0,0.07,0.0,0.0,6.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.17,50.0,0.26,100.0,1.31,53.33,0.79,0.79,40.06,87.12,12.51,71.33,1.84,95.24,23.27,94.36,6.03,50.72,23.72,43.03,0.0,0.0,0.0,0.0,0.0,4.02,54.35,0.26,33.33,0.26,33.33,0.17,0.0,5.07,68.97,Defender
J. Rojas,Vasco da Gama,"LW, LCMF, LWF",23.0,0,2028-06-30,15,702,1,1.08,Colombia,Colombia,direito,180,71,sim,5.64,5.13,45.0,1.28,20.0,0.77,1.18,0.0,2.56,3.95,1.15,4.0,0.51,0.0,0.0,5.51,0.13,1.0,0.13,0.14,0.0,0.0,31.0,3.97,25.81,3.226,0.0,0.0,0.45,0.06,2.44,31.58,5.51,65.12,9.1,47.89,2.44,2.82,39.62,81.55,11.28,75.0,7.56,91.53,13.85,83.33,4.23,66.67,18.59,28.32,0.0,0.0,0.38,33.33,0.26,6.67,69.23,3.46,48.15,1.03,25.0,1.41,0.77,5.64,86.36,Forward
T. Jacob,Atlanta United,"RCB, CB",21.0,0,2029-06-30,14,1218,1,0.7,Argentina,Argentina,direito,188,74,sim,8.5,6.95,63.83,2.73,51.35,0.52,0.72,0.37,3.55,4.91,1.48,2.0,0.15,0.0,0.0,0.37,0.07,1.0,0.07,0.05,0.0,0.0,3.0,0.22,33.33,33.333,0.0,0.0,0.07,0.0,0.22,66.67,0.59,25.0,2.0,37.04,0.37,0.44,28.82,87.18,11.23,76.97,3.99,98.15,9.98,95.56,2.14,48.28,19.34,35.51,0.0,0.07,0.0,0.0,0.0,2.73,70.27,0.3,25.0,0.07,0.0,0.0,0.07,4.36,67.8,Defender
J. Ruvalcaba,New York RB,"LAMF, LW",24.0,0,2030-06-30,19,1740,5,4.6,United States,"United States, Mexico",direito,180,63,sim,3.98,4.6,49.44,0.67,30.77,0.41,0.57,0.21,1.29,1.77,1.5,7.0,0.36,0.0,0.0,2.28,0.26,5.0,0.26,0.24,0.0,0.0,45.0,2.33,33.33,11.111,2.0,0.1,2.8,0.14,1.14,27.27,2.02,58.97,5.02,38.14,3.41,2.28,21.67,82.58,4.55,71.59,5.38,96.15,7.55,79.45,1.24,66.67,16.54,20.43,0.1,0.0,0.0,0.0,0.47,1.34,69.23,1.71,51.52,0.05,100.0,1.14,0.16,1.91,70.27,Forward
K. Palacios,Santos Laguna,"LAMF, LW, RAMF",26.0,0,2029-06-30,22,1483,2,1.36,Colombia,Colombia,esquerdo,173,66,sim,5.34,5.22,53.49,1.34,45.45,0.06,0.09,0.06,2.49,3.55,1.7,2.0,0.12,0.0,0.0,4.43,0.12,2.0,0.12,0.08,0.0,0.0,17.0,1.03,41.18,11.765,1.0,0.06,2.37,0.14,2.85,34.04,5.1,59.52,11.77,48.97,2.31,3.16,23.06,76.84,3.76,66.13,6.01,91.92,8.5,72.86,0.91,46.67,17.24,16.96,0.0,0.0,0.0,0.0,0.61,1.4,73.91,2.91,50.0,0.06,100.0,1.21,0.85,3.82,77.78,Forward
M. Ramírez,Puebla,"LCMF, LDMF, RCMF",23.0,0,2026-07-01,15,741,0,0.72,United States,"United States, Mexico",direito,168,61,sim,5.47,6.19,64.71,1.46,25.0,0.12,0.2,0.0,1.34,2.19,1.09,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.09,0.0,0.0,8.0,0.97,37.5,0.0,0.0,0.0,0.34,0.04,0.73,16.67,0.73,83.33,6.07,42.0,1.34,1.21,36.44,88.0,9.35,79.22,7.77,95.31,11.9,92.86,3.28,66.67,18.58,26.08,0.0,0.0,0.49,25.0,0.24,5.1,73.81,1.34,45.45,0.49,25.0,0.73,0.36,4.13,79.41,Midfielder
Yan Phillipe,Atlético de San Luis,"CF, LAMF, LW",21.0,0,2028-06-30,10,576,0,2.32,Brazil,Brazil,direito,180,68,sim,2.5,3.59,30.43,1.09,42.86,0.31,0.45,0.0,1.09,1.58,2.5,2.0,0.31,0.0,0.0,3.59,0.0,0.0,0.0,0.36,0.0,0.0,12.0,1.88,25.0,0.0,0.0,0.0,0.86,0.13,2.34,40.0,4.22,51.85,14.06,44.44,2.34,2.81,23.12,79.73,4.84,61.29,5.78,91.89,7.66,79.59,1.09,57.14,16.34,22.44,0.0,0.0,0.0,0.0,0.63,1.72,54.55,2.34,46.67,0.0,0.0,0.47,1.25,2.03,69.23,Forward
O. Moreno,Mazatlán,"RW, AMF, CF",21.0,0,2027-06-30,14,840,1,1.59,Mexico,Mexico,direito,175,73,sim,3.32,3.11,41.38,1.18,18.18,0.32,0.41,0.0,1.71,2.18,1.07,1.0,0.11,0.0,0.0,4.82,0.11,1.0,0.11,0.17,0.0,0.0,21.0,2.25,57.14,4.762,1.0,0.11,1.68,0.18,1.61,20.0,4.29,75.0,9.96,47.31,1.82,1.61,15.21,72.54,4.07,65.79,2.89,92.59,4.5,71.43,0.64,50.0,18.49,14.6,0.0,0.0,0.11,0.0,0.21,1.39,76.92,1.18,54.55,0.11,0.0,0.43,0.43,2.46,78.26,Forward
Joaquim,Tigres UANL,"RCB, LCB",27.0,0,2027-06-30,29,2327,1,2.7,Brazil,Brazil,direito,190,82,sim,7.7,4.72,70.49,4.91,66.93,0.08,0.11,0.43,4.29,6.05,1.35,6.0,0.23,1.0,0.04,0.7,0.04,1.0,0.04,0.1,1.0,0.04,20.0,0.77,30.0,5.0,0.0,0.0,0.08,0.0,0.23,0.0,0.62,75.0,2.32,66.67,1.04,0.7,44.71,87.54,15.47,74.75,2.2,92.98,22.74,96.09,4.18,47.22,21.28,35.62,0.0,0.0,0.0,0.0,0.04,6.3,69.94,0.5,15.38,0.31,25.0,0.08,0.0,6.92,71.51,Defender
A. De La Rosa,Puebla,RB,20.0,0,,5,504,1,0.59,Mexico,Mexico,,172,67,sim,7.5,6.79,52.63,0.89,40.0,0.36,0.42,0.0,3.57,4.23,0.89,2.0,0.36,0.0,0.0,1.07,0.18,1.0,0.18,0.1,0.0,0.0,3.0,0.54,100.0,33.333,0.0,0.0,0.04,0.01,0.36,0.0,1.61,33.33,4.46,36.0,0.54,0.89,26.96,78.15,10.54,66.1,4.64,92.31,6.61,83.78,1.43,50.0,15.38,25.14,0.0,0.18,0.0,0.0,0.18,3.39,52.63,0.54,33.33,0.0,0.0,0.18,0.18,4.29,41.67,Defender
J. Caicedo,Pumas UNAM,"LDMF, DMF, LCMF",23.0,0,2027-06-30,18,1452,0,0.5,Colombia,Colombia,direito,185,86,sim,7.69,4.96,55.0,2.85,52.17,0.43,0.62,0.37,4.52,6.5,1.55,6.0,0.37,1.0,0.06,0.43,0.0,0.0,0.0,0.03,0.0,0.0,8.0,0.5,12.5,0.0,1.0,0.06,0.1,0.01,0.06,0.0,0.37,66.67,1.98,50.0,0.31,0.87,46.18,88.05,13.95,75.11,3.97,92.19,22.07,94.38,3.66,62.71,18.21,35.85,0.0,0.25,0.25,50.0,0.06,8.68,75.0,0.62,50.0,0.56,33.33,0.25,0.0,6.38,77.67,Midfielder
A. Duarte,Atlético de San Luis,"CF, LAMF, LW",21.0,0,2026-12-31,20,1026,2,4.18,Uruguay,Uruguay,direito,175,64,sim,4.65,6.49,43.24,2.28,11.54,0.26,0.34,0.09,1.58,2.03,2.02,4.0,0.35,0.0,0.0,2.28,0.18,2.0,0.18,0.37,1.0,0.09,27.0,2.37,14.81,7.407,0.0,0.0,1.48,0.13,1.14,30.77,4.04,39.13,10.35,35.59,2.63,1.32,14.74,77.38,3.42,64.1,3.33,97.37,4.21,77.08,0.44,40.0,15.58,6.39,0.0,0.0,0.09,0.0,0.18,1.84,66.67,0.96,63.64,0.26,33.33,0.44,0.35,1.4,68.75,Forward
E. Montiel,Pachuca,"RDMF, RCMF",20.0,0,,11,1087,1,1.4,Mexico,Mexico,direito,170,63,sim,4.64,3.48,71.43,0.66,12.5,0.0,0.0,0.0,2.15,2.82,0.58,2.0,0.17,0.0,0.0,2.24,0.08,1.0,0.08,0.12,0.0,0.0,19.0,1.57,42.11,5.263,2.0,0.17,1.32,0.11,0.75,44.44,1.66,65.0,4.31,42.31,1.16,2.57,43.8,87.71,13.25,76.25,6.13,95.95,14.66,96.05,2.65,68.75,17.13,39.76,0.25,0.08,0.41,40.0,0.33,6.46,75.64,2.07,68.0,0.75,55.56,1.24,0.25,5.8,75.71,Midfielder
G. Berterame,Inter Miami,CF,27.0,0,2029-06-30,24,2276,13,11.65,Argentina,Argentina,direito,180,74,sim,2.85,1.86,57.45,2.89,54.79,0.2,0.29,0.12,1.58,2.3,0.75,1.0,0.04,0.0,0.0,1.98,0.51,13.0,0.51,0.46,3.0,0.12,59.0,2.33,57.63,22.034,1.0,0.04,1.5,0.06,0.36,22.22,1.11,50.0,4.23,34.58,3.68,0.59,14.55,82.07,2.29,68.97,4.43,91.07,4.27,83.33,0.43,45.45,14.33,13.67,0.12,0.0,0.04,0.0,0.16,1.23,70.97,0.43,63.64,0.08,0.0,0.63,0.04,1.3,60.61,Forward
J. Orozco,Cruz Azul,"LCB, CB",23.0,0,2026-06-30,15,1077,1,0.56,Mexico,Mexico,esquerdo,188,82,sim,9.19,6.77,74.07,2.67,62.5,0.33,0.53,0.58,3.84,6.08,1.5,1.0,0.08,2.0,0.17,0.84,0.08,1.0,0.08,0.05,0.0,0.0,7.0,0.58,14.29,14.286,1.0,0.08,0.28,0.02,0.67,50.0,0.5,83.33,2.01,41.67,0.42,2.59,41.2,87.02,17.63,78.67,3.51,92.86,15.04,92.78,5.1,40.98,20.57,39.01,0.0,0.08,0.0,0.0,0.08,6.43,68.83,1.09,53.85,0.25,33.33,0.33,0.25,6.94,73.49,Defender
K. Mier,Cruz Azul,GK,25.0,0,2029-06-30,16,1589,0,0.0,Colombia,Colombia,direito,190,73,sim,0.96,0.11,100.0,0.11,100.0,0.0,0.0,0.0,0.85,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,27.47,86.19,13.08,73.59,0.06,100.0,13.03,97.39,7.14,51.59,28.88,50.39,0.0,0.0,0.0,0.0,0.0,1.98,37.14,0.17,0.0,0.06,100.0,0.0,0.0,5.1,60.0,Goalkeeper
M. Bogusz,Houston Dynamo,"AMF, CF, LW",24.0,0,,13,657,1,1.37,Poland,Poland,direito,175,68,sim,4.25,4.25,61.29,1.23,33.33,0.14,0.26,0.27,1.51,2.82,1.37,2.0,0.27,0.0,0.0,3.01,0.14,1.0,0.14,0.19,0.0,0.0,23.0,3.15,30.43,4.348,1.0,0.14,0.51,0.07,2.19,43.75,3.01,36.36,8.63,38.1,3.42,2.6,22.74,75.9,4.93,61.11,5.75,92.86,7.67,71.43,0.55,0.0,17.7,10.27,0.0,0.0,0.14,0.0,0.41,2.19,43.75,2.6,57.89,0.14,0.0,0.82,0.96,2.6,63.16,Forward
J. Sanabria,Real Salt Lake,LB,25.0,0,2030-06-30,19,1927,2,0.89,Uruguay,"Uruguay, Spain",esquerdo,173,62,sim,8.41,6.17,62.88,2.48,43.4,0.23,0.29,0.09,4.3,5.29,0.89,4.0,0.19,1.0,0.05,2.38,0.09,2.0,0.09,0.04,1.0,0.05,12.0,0.56,50.0,16.667,5.0,0.23,2.76,0.13,3.5,52.0,0.79,35.29,2.34,42.0,0.7,1.07,38.67,81.88,15.23,77.91,4.34,89.25,13.96,84.62,4.48,61.46,21.0,38.02,0.05,0.19,0.05,0.0,0.61,6.4,75.18,3.88,56.63,0.56,41.67,0.79,1.73,10.6,85.46,Defender
M. Carcelén,Querétaro,"LCMF, RDMF, RCMF",28.0,0,,12,510,0,0.47,Ecuador,Ecuador,direito,189,81,sim,9.18,6.88,53.85,4.24,41.67,0.71,0.71,0.71,4.76,4.76,1.59,4.0,0.71,0.0,0.0,1.76,0.0,0.0,0.0,0.08,0.0,0.0,8.0,1.41,0.0,0.0,1.0,0.18,0.03,0.01,0.88,40.0,2.65,53.33,8.65,34.69,0.35,0.35,25.76,80.14,9.71,67.27,5.29,93.33,6.35,83.33,2.29,53.85,17.88,23.72,0.0,0.18,0.0,0.0,0.0,5.29,66.67,1.41,37.5,0.35,50.0,0.53,0.53,4.41,80.0,Midfielder
