player,team,position,age,market_value,contract_end,matches,minutes,goals,xg,nationality,country,foot,height,weight,on_loan,def_actions_p90,def_duels_p90,def_duels_won_pct,aerial_duels_p90,aerial_duels_won_pct,tackles_p90,tackles_adj_p90,blocked_shots_p90,interceptions_p90,interceptions_adj_p90,fouls_p90,yellow_cards,yellow_cards_p90,red_cards,red_cards_p90,att_actions_p90,goals_p90,np_goals,np_goals_p90,xg_p90,header_goals,header_goals_p90,shots,shots_p90,shots_on_target_pct,conversion_pct,assists,assists_p90,xa,xa_p90,crosses_p90,crosses_accurate_pct,dribbles_p90,dribbles_success_pct,off_duels_p90,off_duels_won_pct,box_touches_p90,progressive_runs_p90,passes_p90,passes_accurate_pct,fwd_passes_p90,fwd_passes_accurate_pct,back_passes_p90,back_passes_accurate_pct,lat_passes_p90,lat_passes_accurate_pct,long_passes_p90,long_passes_accurate_pct,avg_pass_length,avg_long_pass_length,second_assists_p90,third_assists_p90,smart_passes_p90,smart_passes_accurate_pct,key_passes_p90,final_third_passes_p90,final_third_passes_accurate_pct,penalty_area_passes_p90,penalty_area_passes_accurate_pct,through_passes_p90,through_passes_accurate_pct,through_passes_received_p90,deep_crosses_received_p90,progressive_passes_p90,progressive_passes_accurate_pct,position_group
R. Fruto,Leones,"RB, RDMF",22.0,50000,,25,2149,0,0.12,Colombia,Colombia,,0,0,sim,7.41,6.2,59.46,2.39,66.67,0.25,0.32,0.29,3.48,4.45,1.88,6.0,0.25,0.0,0.0,1.17,0.0,0.0,0.0,0.01,0.0,0.0,6.0,0.25,0.0,0.0,1.0,0.04,1.15,0.05,1.68,55.0,0.5,50.0,1.8,44.19,0.38,0.46,29.78,81.15,10.3,69.11,3.6,95.35,12.1,86.16,4.27,55.88,24.01,33.28,0.0,0.0,0.0,0.0,0.42,5.7,66.18,1.84,45.45,0.38,44.44,0.25,0.71,6.11,73.29,Midfielder
J. Lemus,Barranquilla,GK,27.0,50000,,20,1904,0,0.0,Colombia,Colombia,direito,183,80,sim,1.7,0.14,66.67,0.57,83.33,0.05,0.07,0.0,1.56,2.32,0.05,4.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,66.67,0.0,0.0,13.99,88.51,6.76,79.72,0.0,0.0,6.81,97.22,3.07,53.85,26.53,43.03,0.0,0.0,0.0,0.0,0.0,0.57,16.67,0.0,0.0,0.05,0.0,0.0,0.0,1.94,60.98,Goalkeeper
A. Escobar,Atlético,"LWF, CF, LAMF",34.0,25000,,7,508,1,0.26,Colombia,Colombia,direito,168,68,sim,3.01,3.19,55.56,1.95,27.27,0.18,0.22,0.0,1.06,1.32,1.06,0.0,0.0,0.0,0.0,4.07,0.18,1.0,0.18,0.05,0.0,0.0,6.0,1.06,16.67,16.667,0.0,0.0,0.6,0.11,1.42,12.5,6.73,50.0,17.19,35.05,1.24,3.54,18.07,81.37,6.2,77.14,5.67,93.75,3.37,78.95,0.71,75.0,18.13,11.12,0.0,0.0,0.53,66.67,0.18,2.13,75.0,2.3,61.54,0.53,66.67,1.77,0.0,3.9,86.36,Forward
J. Madrid,,LCB,24.0,10000,,25,2276,0,1.25,Colombia,Colombia,esquerdo,181,72,sim,7.71,3.88,83.67,2.45,62.9,0.28,0.3,0.63,4.19,4.6,0.51,4.0,0.16,1.0,0.04,0.2,0.0,0.0,0.0,0.05,0.0,0.0,6.0,0.24,50.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.12,66.67,0.32,50.0,0.51,0.08,22.46,80.63,11.74,70.37,0.99,96.0,7.43,93.09,5.5,51.8,23.59,39.96,0.04,0.04,0.0,0.0,0.0,2.77,54.29,0.63,25.0,0.24,16.67,0.24,0.0,5.77,65.07,Defender
D. Reales,Atlético,"LCB, LB",25.0,10000,,25,1977,3,3.18,Colombia,Colombia,,0,0,sim,10.2,6.37,61.43,4.69,63.11,0.59,0.78,0.59,5.69,7.49,1.46,8.0,0.36,0.0,0.0,0.64,0.14,2.0,0.09,0.14,1.0,0.05,22.0,1.0,36.36,13.636,2.0,0.09,0.16,0.01,0.41,22.22,0.36,50.0,1.73,36.84,0.96,0.64,27.91,72.43,16.66,65.85,1.68,83.78,7.1,82.69,6.56,43.06,21.44,35.36,0.05,0.0,0.05,0.0,0.09,5.55,54.1,1.37,20.0,0.46,10.0,0.23,0.09,8.19,66.67,Defender
J. Mena,Boyacá Chicó,"CF, RW, RWF",23.0,0,2026-06-30,13,867,3,2.05,Colombia,Colombia,esquerdo,181,0,sim,5.71,5.61,51.85,1.66,25.0,0.31,0.52,0.0,2.49,4.14,1.35,1.0,0.1,0.0,0.0,3.63,0.31,2.0,0.21,0.21,0.0,0.0,29.0,3.01,27.59,10.345,1.0,0.1,1.63,0.17,1.76,35.29,3.22,67.74,9.45,38.46,1.45,1.97,34.98,77.45,10.07,69.07,5.92,91.23,12.66,79.51,4.15,47.5,18.15,27.38,0.0,0.0,0.1,0.0,0.31,4.98,56.25,3.22,38.71,0.93,11.11,0.73,0.73,5.61,79.63,Forward
S. Viveros del Castillo,Millonarios,"RCMF, LCMF",21.0,0,,16,1133,3,0.94,Colombia,Colombia,unknown,0,0,sim,5.64,5.08,56.25,2.38,43.33,0.08,0.12,0.08,2.7,3.94,2.14,4.0,0.32,0.0,0.0,3.73,0.24,3.0,0.24,0.07,0.0,0.0,34.0,2.7,47.06,8.824,0.0,0.0,1.01,0.08,1.59,40.0,3.73,46.81,10.01,37.3,1.43,0.71,27.17,76.32,8.1,65.69,5.0,95.24,8.34,74.29,3.5,50.0,19.14,32.86,0.0,0.0,0.16,50.0,0.16,4.29,61.11,2.14,37.04,0.87,45.45,0.4,0.56,4.21,75.47,Midfielder
B. Correa,América de Cali U20,"RB, RW",21.0,0,,8,532,0,0.03,Colombia,Colombia,,0,0,sim,6.26,4.23,48.0,1.02,66.67,0.68,1.06,0.0,3.55,5.58,0.68,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.51,0.0,0.0,0.0,0.0,0.04,0.01,1.02,16.67,0.51,66.67,3.72,36.36,1.02,0.85,41.11,86.83,12.18,72.22,10.83,93.75,11.84,92.86,3.55,61.9,15.36,29.42,0.0,0.0,0.0,0.0,0.0,4.57,66.67,0.68,25.0,0.34,100.0,0.34,0.17,4.06,79.17,Forward
J. Salazar,,"CF, RW, RWF",19.0,0,,10,503,0,1.18,Colombia,Colombia,unknown,0,0,sim,3.4,4.12,56.52,2.86,0.0,0.0,0.0,0.0,1.07,1.76,1.43,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.21,0.0,0.0,4.0,0.72,50.0,0.0,1.0,0.18,0.93,0.17,4.29,29.17,1.79,50.0,5.01,46.43,1.79,1.43,22.9,63.28,5.9,48.48,4.83,96.3,7.87,45.45,3.22,50.0,20.12,20.42,0.0,0.0,0.18,0.0,0.72,2.68,53.33,4.65,26.92,0.72,50.0,0.54,1.25,4.29,70.83,Forward
L. Gómez,Orsomarso,"LB, LCB",21.0,0,,14,1050,0,0.67,Colombia,Colombia,esquerdo,185,74,sim,8.83,6.69,58.97,2.23,57.69,0.26,0.42,0.26,4.63,7.53,1.37,4.0,0.34,0.0,0.0,2.31,0.0,0.0,0.0,0.06,0.0,0.0,8.0,0.69,25.0,0.0,0.0,0.0,0.38,0.03,1.8,28.57,2.66,61.29,10.46,49.18,0.94,4.2,40.54,78.22,16.46,71.35,4.71,90.91,11.83,84.78,3.77,43.18,17.23,31.05,0.0,0.0,0.09,0.0,0.17,7.97,63.44,2.74,40.63,0.69,12.5,0.94,0.69,8.91,75.0,Defender
